"age","-","state","-","kind","-",deaths,population,-
"5-14 years","5-14","Georgia","13","Non-Injury: Diseases of Heart","GR113 055-068",11,1413003,Unreliable
"5-14 years","5-14","Georgia","13","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",29,1413003,2.1
"5-14 years","5-14","Georgia","13","Suffocation","GRINJ-017",13,1413003,Unreliable
"5-14 years","5-14","Idaho","16","Non-Injury: All other diseases (Residual)","GR113-111",10,254788,Unreliable
"5-14 years","5-14","Illinois","17","Firearm","GRINJ-006",20,1575745,1.3
"5-14 years","5-14","Illinois","17","Motor Vehicle Traffic","GRINJ-008",20,1575745,1.3
"5-14 years","5-14","Illinois","17","Non-Injury: All other diseases (Residual)","GR113-111",28,1575745,1.8
"5-14 years","5-14","Illinois","17","Non-Injury: Chronic lower respiratory diseases","GR113 082",13,1575745,Unreliable
"5-14 years","5-14","Illinois","17","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",25,1575745,1.6
"5-14 years","5-14","Indiana","18","Firearm","GRINJ-006",11,878981,Unreliable
"5-14 years","5-14","Indiana","18","Motor Vehicle Traffic","GRINJ-008",15,878981,Unreliable
"5-14 years","5-14","Indiana","18","Non-Injury: All other diseases (Residual)","GR113-111",24,878981,2.7
"5-14 years","5-14","Indiana","18","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",11,878981,Unreliable
"5-14 years","5-14","Indiana","18","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",10,878981,Unreliable
"5-14 years","5-14","Indiana","18","Suffocation","GRINJ-017",14,878981,Unreliable
"5-14 years","5-14","Kentucky","21","Motor Vehicle Traffic","GRINJ-008",13,560417,Unreliable
"5-14 years","5-14","Kentucky","21","Non-Injury: All other diseases (Residual)","GR113-111",11,560417,Unreliable
"5-14 years","5-14","Louisiana","22","Firearm","GRINJ-006",11,607936,Unreliable
"5-14 years","5-14","Louisiana","22","Motor Vehicle Traffic","GRINJ-008",18,607936,Unreliable
"5-14 years","5-14","Louisiana","22","Non-Injury: All other diseases (Residual)","GR113-111",23,607936,3.8
"5-14 years","5-14","Maryland","24","Motor Vehicle Traffic","GRINJ-008",14,747869,Unreliable
"5-14 years","5-14","Maryland","24","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",12,747869,Unreliable
"5-14 years","5-14","Maryland","24","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",11,747869,Unreliable
"5-14 years","5-14","Massachusetts","25","Non-Injury: All other diseases (Residual)","GR113-111",13,751035,Unreliable
"5-14 years","5-14","Massachusetts","25","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",14,751035,Unreliable
"5-14 years","5-14","Michigan","26","Firearm","GRINJ-006",13,1196689,Unreliable
"5-14 years","5-14","Michigan","26","Motor Vehicle Traffic","GRINJ-008",24,1196689,2.0
"5-14 years","5-14","Michigan","26","Non-Injury: All other diseases (Residual)","GR113-111",21,1196689,1.8
"5-14 years","5-14","Michigan","26","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",15,1196689,Unreliable
"5-14 years","5-14","Michigan","26","Non-Injury: Diseases of Heart","GR113 055-068",10,1196689,Unreliable
"5-14 years","5-14","Michigan","26","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",21,1196689,1.8
"5-14 years","5-14","Michigan","26","Suffocation","GRINJ-017",18,1196689,Unreliable
"5-14 years","5-14","Minnesota","27","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",10,732593,Unreliable
"5-14 years","5-14","Mississippi","28","Drowning","GRINJ-002",12,395659,Unreliable
"5-14 years","5-14","Mississippi","28","Motor Vehicle Traffic","GRINJ-008",17,395659,Unreliable
"5-14 years","5-14","Mississippi","28","Non-Injury: All other diseases (Residual)","GR113-111",14,395659,Unreliable
"5-14 years","5-14","Missouri","29","Firearm","GRINJ-006",17,769540,Unreliable
"5-14 years","5-14","Missouri","29","Motor Vehicle Traffic","GRINJ-008",29,769540,3.8
"5-14 years","5-14","Missouri","29","Non-Injury: All other diseases (Residual)","GR113-111",15,769540,Unreliable
"5-14 years","5-14","Missouri","29","Suffocation","GRINJ-017",10,769540,Unreliable
"55-64 years","55-64","District of Columbia","11","Non-Injury: All other diseases (Residual)","GR113-111",58,69876,83.0
"55-64 years","55-64","District of Columbia","11","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",25,69876,35.8
"55-64 years","55-64","District of Columbia","11","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",29,69876,41.5
"55-64 years","55-64","District of Columbia","11","Non-Injury: Chronic lower respiratory diseases","GR113 082",27,69876,38.6
"55-64 years","55-64","District of Columbia","11","Non-Injury: Diabetes mellitus","GR113-046",25,69876,35.8
"55-64 years","55-64","District of Columbia","11","Non-Injury: Diseases of Heart","GR113 055-068",218,69876,312.0
"55-64 years","55-64","District of Columbia","11","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",13,69876,Unreliable
"55-64 years","55-64","District of Columbia","11","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",21,69876,30.1
"55-64 years","55-64","District of Columbia","11","Non-Injury: Influenza & Pneumonia","GR113 077-078",13,69876,Unreliable
"55-64 years","55-64","District of Columbia","11","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",212,69876,303.4
"55-64 years","55-64","District of Columbia","11","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",11,69876,Unreliable
"55-64 years","55-64","District of Columbia","11","Non-Injury: Septicemia","GR113-010",10,69876,Unreliable
"55-64 years","55-64","District of Columbia","11","Non-Injury: Viral hepatitis","GR113-015",12,69876,Unreliable
"55-64 years","55-64","District of Columbia","11","Poisoning","GRINJ-015",110,69876,157.4
"55-64 years","55-64","Florida","12","Cut/Pierce","GRINJ-001",39,2898355,1.3
"55-64 years","55-64","Florida","12","Drowning","GRINJ-002",66,2898355,2.3
"55-64 years","55-64","Florida","12","Fall","GRINJ-003",231,2898355,8.0
"55-64 years","55-64","Florida","12","Fire/Flame","GRINJ-004",28,2898355,1.0
"55-64 years","55-64","Florida","12","Firearm","GRINJ-006",449,2898355,15.5
"55-64 years","55-64","Florida","12","Motor Vehicle Traffic","GRINJ-008",484,2898355,16.7
"55-64 years","55-64","Florida","12","Natural/Environmental","GRINJ-013",11,2898355,Unreliable
"55-64 years","55-64","Florida","12","Non-Injury: All other diseases (Residual)","GR113-111",2409,2898355,83.1
"55-64 years","55-64","Florida","12","Non-Injury: Alzheimers disease","GR113-052",70,2898355,2.4
"55-64 years","55-64","Florida","12","Non-Injury: Anemias","GR113-045",47,2898355,1.6
"55-64 years","55-64","Florida","12","Non-Injury: Atherosclerosis","GR113-071",25,2898355,0.9
"55-64 years","55-64","Florida","12","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",876,2898355,30.2
"55-64 years","55-64","Florida","12","Non-Injury: Cholelithiasis and other disorders of gallbladder","GR113-096",11,2898355,Unreliable
"55-64 years","55-64","Florida","12","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",1061,2898355,36.6
"55-64 years","55-64","Florida","12","Non-Injury: Chronic lower respiratory diseases","GR113 082",1325,2898355,45.7
"55-64 years","55-64","Florida","12","Non-Injury: Complications of medical and surgical care","GR113-135",62,2898355,2.1
"55-64 years","55-64","Florida","12","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",72,2898355,2.5
"55-64 years","55-64","Florida","12","Non-Injury: Diabetes mellitus","GR113-046",1094,2898355,37.7
"55-64 years","55-64","Florida","12","Non-Injury: Diseases of Heart","GR113 055-068",5211,2898355,179.8
"55-64 years","55-64","Florida","12","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",313,2898355,10.8
"55-64 years","55-64","Florida","12","Non-Injury: Hernia","GR113-092",15,2898355,Unreliable
"55-64 years","55-64","Florida","12","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",213,2898355,7.3
"55-64 years","55-64","Florida","12","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",109,2898355,3.8
"55-64 years","55-64","Florida","12","Non-Injury: Influenza & Pneumonia","GR113 077-078",270,2898355,9.3
"55-64 years","55-64","Florida","12","Non-Injury: Intestinal infections","GR113 001-003",41,2898355,1.4
"55-64 years","55-64","Florida","12","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",8006,2898355,276.2
"55-64 years","55-64","Florida","12","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",403,2898355,13.9
"55-64 years","55-64","Florida","12","Non-Injury: Nutritional Deficiencies","GR113 048-049",32,2898355,1.1
"55-64 years","55-64","Florida","12","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",80,2898355,2.8
"55-64 years","55-64","Florida","12","Non-Injury: Other diseases of respiratory system","GR113-089",294,2898355,10.1
"55-64 years","55-64","Florida","12","Non-Injury: Other diseases of the circulatory system","GR113 073-074",159,2898355,5.5
"55-64 years","55-64","Florida","12","Non-Injury: Other disorders of circulatory system","GR113-075",44,2898355,1.5
"55-64 years","55-64","Florida","12","Non-Injury: Parkinsons disease","GR113-051",59,2898355,2.0
"55-64 years","55-64","Florida","12","Non-Injury: Peptic ulcer","GR113-090",36,2898355,1.2
"55-64 years","55-64","Florida","12","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",93,2898355,3.2
"55-64 years","55-64","Florida","12","Non-Injury: Septicemia","GR113-010",342,2898355,11.8
"55-64 years","55-64","Florida","12","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",213,2898355,7.3
"55-64 years","55-64","Florida","12","Non-Injury: Tuberculosis","GR113 005-006",10,2898355,Unreliable
"55-64 years","55-64","Florida","12","Non-Injury: Viral hepatitis","GR113-015",158,2898355,5.5
"55-64 years","55-64","Florida","12","Other Pedal cyclist","GRINJ-009",14,2898355,Unreliable
"55-64 years","55-64","Florida","12","Other Pedestrian","GRINJ-010",13,2898355,Unreliable
"55-64 years","55-64","Florida","12","Other land transport","GRINJ-011",18,2898355,Unreliable
"55-64 years","55-64","Florida","12","Other specified, classifiable Injury","GRINJ-018",33,2898355,1.1
"55-64 years","55-64","Florida","12","Other specified, not elsewhere classified Injury","GRINJ-019",32,2898355,1.1
"55-64 years","55-64","Florida","12","Other transport","GRINJ-012",14,2898355,Unreliable
"55-64 years","55-64","Florida","12","Poisoning","GRINJ-015",970,2898355,33.5
"55-64 years","55-64","Florida","12","Suffocation","GRINJ-017",206,2898355,7.1
"55-64 years","55-64","Florida","12","Unspecified Injury","GRINJ-020",61,2898355,2.1
"55-64 years","55-64","Georgia","13","Cut/Pierce","GRINJ-001",12,1307533,Unreliable
"55-64 years","55-64","Georgia","13","Drowning","GRINJ-002",20,1307533,1.5
"55-64 years","55-64","Georgia","13","Fall","GRINJ-003",68,1307533,5.2
"55-64 years","55-64","Georgia","13","Fire/Flame","GRINJ-004",29,1307533,2.2
"55-64 years","55-64","Georgia","13","Firearm","GRINJ-006",204,1307533,15.6
"55-64 years","55-64","Georgia","13","Motor Vehicle Traffic","GRINJ-008",204,1307533,15.6
"55-64 years","55-64","Georgia","13","Natural/Environmental","GRINJ-013",13,1307533,Unreliable
"55-64 years","55-64","Georgia","13","Non-Injury: All other diseases (Residual)","GR113-111",1193,1307533,91.2
"55-64 years","55-64","Georgia","13","Non-Injury: Alzheimers disease","GR113-052",53,1307533,4.1
"55-64 years","55-64","Georgia","13","Non-Injury: Anemias","GR113-045",22,1307533,1.7
"55-64 years","55-64","Georgia","13","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",533,1307533,40.8
"55-64 years","55-64","Georgia","13","Non-Injury: Cholelithiasis and other disorders of gallbladder","GR113-096",12,1307533,Unreliable
"55-64 years","55-64","Georgia","13","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",436,1307533,33.3
"55-64 years","55-64","Georgia","13","Non-Injury: Chronic lower respiratory diseases","GR113 082",651,1307533,49.8
"55-64 years","55-64","Georgia","13","Non-Injury: Complications of medical and surgical care","GR113-135",28,1307533,2.1
"55-64 years","55-64","Georgia","13","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",29,1307533,2.2
"55-64 years","55-64","Georgia","13","Non-Injury: Diabetes mellitus","GR113-046",477,1307533,36.5
"55-64 years","55-64","Georgia","13","Non-Injury: Diseases of Heart","GR113 055-068",3089,1307533,236.2
"55-64 years","55-64","Georgia","13","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",215,1307533,16.4
"55-64 years","55-64","Georgia","13","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",73,1307533,5.6
"55-64 years","55-64","Georgia","13","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",59,1307533,4.5
"55-64 years","55-64","Georgia","13","Non-Injury: Influenza & Pneumonia","GR113 077-078",185,1307533,14.1
"55-64 years","55-64","Georgia","13","Non-Injury: Intestinal infections","GR113 001-003",28,1307533,2.1
"55-64 years","55-64","Georgia","13","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",3723,1307533,284.7
"55-64 years","55-64","Georgia","13","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",279,1307533,21.3
"55-64 years","55-64","Georgia","13","Non-Injury: Nutritional Deficiencies","GR113 048-049",28,1307533,2.1
"55-64 years","55-64","Georgia","13","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",42,1307533,3.2
"55-64 years","55-64","Georgia","13","Non-Injury: Other diseases of respiratory system","GR113-089",240,1307533,18.4
"55-64 years","55-64","Georgia","13","Non-Injury: Other diseases of the circulatory system","GR113 073-074",79,1307533,6.0
"55-64 years","55-64","Georgia","13","Non-Injury: Other disorders of circulatory system","GR113-075",35,1307533,2.7
"55-64 years","55-64","Georgia","13","Non-Injury: Parkinsons disease","GR113-051",18,1307533,Unreliable
"55-64 years","55-64","Georgia","13","Non-Injury: Peptic ulcer","GR113-090",15,1307533,Unreliable
"55-64 years","55-64","Georgia","13","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",51,1307533,3.9
"55-64 years","55-64","Georgia","13","Non-Injury: Septicemia","GR113-010",300,1307533,22.9
"55-64 years","55-64","Georgia","13","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",123,1307533,9.4
"55-64 years","55-64","Georgia","13","Non-Injury: Viral hepatitis","GR113-015",42,1307533,3.2
"55-64 years","55-64","Georgia","13","Poisoning","GRINJ-015",309,1307533,23.6
"55-64 years","55-64","Georgia","13","Suffocation","GRINJ-017",75,1307533,5.7
"55-64 years","55-64","Georgia","13","Unspecified Injury","GRINJ-020",40,1307533,3.1
"55-64 years","55-64","Hawaii","15","Drowning","GRINJ-002",11,179137,Unreliable
"55-64 years","55-64","Hawaii","15","Fall","GRINJ-003",20,179137,11.2
"55-64 years","55-64","Hawaii","15","Motor Vehicle Traffic","GRINJ-008",10,179137,Unreliable
"55-64 years","55-64","Hawaii","15","Non-Injury: All other diseases (Residual)","GR113-111",113,179137,63.1
"55-64 years","55-64","Hawaii","15","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",73,179137,40.8
"55-64 years","55-64","Hawaii","15","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",32,179137,17.9
"55-64 years","55-64","Hawaii","15","Non-Injury: Chronic lower respiratory diseases","GR113 082",48,179137,26.8
"55-64 years","55-64","Hawaii","15","Non-Injury: Diabetes mellitus","GR113-046",48,179137,26.8
"55-64 years","55-64","Hawaii","15","Non-Injury: Diseases of Heart","GR113 055-068",316,179137,176.4
"55-64 years","55-64","Hawaii","15","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",14,179137,Unreliable
"55-64 years","55-64","Hawaii","15","Non-Injury: Influenza & Pneumonia","GR113 077-078",27,179137,15.1
"55-64 years","55-64","Hawaii","15","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",390,179137,217.7
"55-64 years","55-64","Hawaii","15","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",22,179137,12.3
"55-64 years","55-64","Hawaii","15","Non-Injury: Other diseases of respiratory system","GR113-089",10,179137,Unreliable
"55-64 years","55-64","Hawaii","15","Non-Injury: Other diseases of the circulatory system","GR113 073-074",16,179137,Unreliable
"55-64 years","55-64","Hawaii","15","Non-Injury: Septicemia","GR113-010",20,179137,11.2
"55-64 years","55-64","Hawaii","15","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",32,179137,17.9
"55-64 years","55-64","Hawaii","15","Poisoning","GRINJ-015",83,179137,46.3
"55-64 years","55-64","Hawaii","15","Suffocation","GRINJ-017",13,179137,Unreliable
"55-64 years","55-64","Idaho","16","Fall","GRINJ-003",18,218360,Unreliable
"55-64 years","55-64","Idaho","16","Firearm","GRINJ-006",39,218360,17.9
"55-64 years","55-64","Idaho","16","Motor Vehicle Traffic","GRINJ-008",30,218360,13.7
"55-64 years","55-64","Idaho","16","Non-Injury: All other diseases (Residual)","GR113-111",180,218360,82.4
"55-64 years","55-64","Idaho","16","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",48,218360,22.0
"55-64 years","55-64","Idaho","16","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",98,218360,44.9
"55-64 years","55-64","Idaho","16","Non-Injury: Chronic lower respiratory diseases","GR113 082",96,218360,44.0
"55-64 years","55-64","Idaho","16","Non-Injury: Diabetes mellitus","GR113-046",76,218360,34.8
"55-64 years","55-64","Idaho","16","Non-Injury: Diseases of Heart","GR113 055-068",306,218360,140.1
"55-64 years","55-64","Idaho","16","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",14,218360,Unreliable
"55-64 years","55-64","Idaho","16","Non-Injury: Influenza & Pneumonia","GR113 077-078",25,218360,11.4
"55-64 years","55-64","Idaho","16","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",475,218360,217.5
"55-64 years","55-64","Idaho","16","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",20,218360,9.2
"55-64 years","55-64","Idaho","16","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",10,218360,Unreliable
"55-64 years","55-64","Idaho","16","Non-Injury: Other diseases of respiratory system","GR113-089",22,218360,10.1
"55-64 years","55-64","Idaho","16","Non-Injury: Other diseases of the circulatory system","GR113 073-074",11,218360,Unreliable
"55-64 years","55-64","Idaho","16","Non-Injury: Septicemia","GR113-010",16,218360,Unreliable
"55-64 years","55-64","Idaho","16","Non-Injury: Viral hepatitis","GR113-015",11,218360,Unreliable
"55-64 years","55-64","Idaho","16","Poisoning","GRINJ-015",61,218360,27.9
"55-64 years","55-64","Idaho","16","Suffocation","GRINJ-017",16,218360,Unreliable
"55-64 years","55-64","Illinois","17","Cut/Pierce","GRINJ-001",19,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Drowning","GRINJ-002",24,1658283,1.4
"55-64 years","55-64","Illinois","17","Fall","GRINJ-003",110,1658283,6.6
"55-64 years","55-64","Illinois","17","Fire/Flame","GRINJ-004",25,1658283,1.5
"55-64 years","55-64","Illinois","17","Firearm","GRINJ-006",126,1658283,7.6
"55-64 years","55-64","Illinois","17","Motor Vehicle Traffic","GRINJ-008",159,1658283,9.6
"55-64 years","55-64","Illinois","17","Natural/Environmental","GRINJ-013",15,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Non-Injury: All other diseases (Residual)","GR113-111",1229,1658283,74.1
"55-64 years","55-64","Illinois","17","Non-Injury: Alzheimers disease","GR113-052",43,1658283,2.6
"55-64 years","55-64","Illinois","17","Non-Injury: Anemias","GR113-045",24,1658283,1.4
"55-64 years","55-64","Illinois","17","Non-Injury: Atherosclerosis","GR113-071",14,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",491,1658283,29.6
"55-64 years","55-64","Illinois","17","Non-Injury: Cholelithiasis and other disorders of gallbladder","GR113-096",16,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",446,1658283,26.9
"55-64 years","55-64","Illinois","17","Non-Injury: Chronic lower respiratory diseases","GR113 082",650,1658283,39.2
"55-64 years","55-64","Illinois","17","Non-Injury: Complications of medical and surgical care","GR113-135",31,1658283,1.9
"55-64 years","55-64","Illinois","17","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",59,1658283,3.6
"55-64 years","55-64","Illinois","17","Non-Injury: Diabetes mellitus","GR113-046",490,1658283,29.5
"55-64 years","55-64","Illinois","17","Non-Injury: Diseases of Heart","GR113 055-068",3220,1658283,194.2
"55-64 years","55-64","Illinois","17","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",147,1658283,8.9
"55-64 years","55-64","Illinois","17","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",31,1658283,1.9
"55-64 years","55-64","Illinois","17","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",58,1658283,3.5
"55-64 years","55-64","Illinois","17","Non-Injury: Influenza & Pneumonia","GR113 077-078",210,1658283,12.7
"55-64 years","55-64","Illinois","17","Non-Injury: Intestinal infections","GR113 001-003",25,1658283,1.5
"55-64 years","55-64","Illinois","17","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",4386,1658283,264.5
"55-64 years","55-64","Illinois","17","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",275,1658283,16.6
"55-64 years","55-64","Illinois","17","Non-Injury: Nutritional Deficiencies","GR113 048-049",23,1658283,1.4
"55-64 years","55-64","Illinois","17","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",41,1658283,2.5
"55-64 years","55-64","Illinois","17","Non-Injury: Other diseases of respiratory system","GR113-089",164,1658283,9.9
"55-64 years","55-64","Illinois","17","Non-Injury: Other diseases of the circulatory system","GR113 073-074",97,1658283,5.8
"55-64 years","55-64","Illinois","17","Non-Injury: Other disorders of circulatory system","GR113-075",43,1658283,2.6
"55-64 years","55-64","Illinois","17","Non-Injury: Parkinsons disease","GR113-051",42,1658283,2.5
"55-64 years","55-64","Illinois","17","Non-Injury: Peptic ulcer","GR113-090",14,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",74,1658283,4.5
"55-64 years","55-64","Illinois","17","Non-Injury: Septicemia","GR113-010",214,1658283,12.9
"55-64 years","55-64","Illinois","17","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",98,1658283,5.9
"55-64 years","55-64","Illinois","17","Non-Injury: Viral hepatitis","GR113-015",27,1658283,1.6
"55-64 years","55-64","Illinois","17","Other specified, classifiable Injury","GRINJ-018",22,1658283,1.3
"55-64 years","55-64","Illinois","17","Other specified, not elsewhere classified Injury","GRINJ-019",13,1658283,Unreliable
"55-64 years","55-64","Illinois","17","Poisoning","GRINJ-015",592,1658283,35.7
"55-64 years","55-64","Illinois","17","Suffocation","GRINJ-017",110,1658283,6.6
"55-64 years","55-64","Illinois","17","Unspecified Injury","GRINJ-020",28,1658283,1.7
"55-64 years","55-64","Indiana","18","Cut/Pierce","GRINJ-001",12,875082,Unreliable
"55-64 years","55-64","Indiana","18","Drowning","GRINJ-002",10,875082,Unreliable
"55-64 years","55-64","Indiana","18","Fall","GRINJ-003",50,875082,5.7
"55-64 years","55-64","Indiana","18","Fire/Flame","GRINJ-004",28,875082,3.2
"55-64 years","55-64","Indiana","18","Firearm","GRINJ-006",114,875082,13.0
"55-64 years","55-64","Indiana","18","Motor Vehicle Traffic","GRINJ-008",128,875082,14.6
"55-64 years","55-64","Indiana","18","Natural/Environmental","GRINJ-013",10,875082,Unreliable
"55-64 years","55-64","Indiana","18","Non-Injury: All other diseases (Residual)","GR113-111",934,875082,106.7
"55-64 years","55-64","Indiana","18","Non-Injury: Alzheimers disease","GR113-052",20,875082,2.3
"55-64 years","55-64","Indiana","18","Non-Injury: Anemias","GR113-045",25,875082,2.9
"55-64 years","55-64","Indiana","18","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",301,875082,34.4
"55-64 years","55-64","Indiana","18","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",322,875082,36.8
"55-64 years","55-64","Indiana","18","Non-Injury: Chronic lower respiratory diseases","GR113 082",641,875082,73.3
"55-64 years","55-64","Indiana","18","Non-Injury: Complications of medical and surgical care","GR113-135",19,875082,Unreliable
"55-64 years","55-64","Indiana","18","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",37,875082,4.2
"55-64 years","55-64","Indiana","18","Non-Injury: Diabetes mellitus","GR113-046",365,875082,41.7
"55-64 years","55-64","Indiana","18","Non-Injury: Diseases of Heart","GR113 055-068",1895,875082,216.6
"55-64 years","55-64","Indiana","18","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",104,875082,11.9
"55-64 years","55-64","Indiana","18","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",14,875082,Unreliable
"55-64 years","55-64","Indiana","18","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",28,875082,3.2
"55-64 years","55-64","Indiana","18","Non-Injury: Influenza & Pneumonia","GR113 077-078",94,875082,10.7
"55-64 years","55-64","Indiana","18","Non-Injury: Intestinal infections","GR113 001-003",11,875082,Unreliable
"55-64 years","55-64","Indiana","18","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",2626,875082,300.1
"55-64 years","55-64","Indiana","18","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",142,875082,16.2
"55-64 years","55-64","Indiana","18","Non-Injury: Nutritional Deficiencies","GR113 048-049",22,875082,2.5
"55-64 years","55-64","Indiana","18","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",22,875082,2.5
"55-64 years","55-64","Indiana","18","Non-Injury: Other diseases of respiratory system","GR113-089",118,875082,13.5
"55-64 years","55-64","Indiana","18","Non-Injury: Other diseases of the circulatory system","GR113 073-074",70,875082,8.0
"55-64 years","55-64","Indiana","18","Non-Injury: Other disorders of circulatory system","GR113-075",23,875082,2.6
"55-64 years","55-64","Indiana","18","Non-Injury: Parkinsons disease","GR113-051",24,875082,2.7
"55-64 years","55-64","Indiana","18","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",36,875082,4.1
"55-64 years","55-64","Indiana","18","Non-Injury: Septicemia","GR113-010",162,875082,18.5
"55-64 years","55-64","Indiana","18","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",44,875082,5.0
"55-64 years","55-64","Indiana","18","Non-Injury: Viral hepatitis","GR113-015",38,875082,4.3
"55-64 years","55-64","Indiana","18","Poisoning","GRINJ-015",280,875082,32.0
"55-64 years","55-64","Indiana","18","Suffocation","GRINJ-017",59,875082,6.7
"55-64 years","55-64","Indiana","18","Unspecified Injury","GRINJ-020",24,875082,2.7
"55-64 years","55-64","Iowa","19","Fall","GRINJ-003",45,415696,10.8
"55-64 years","55-64","Iowa","19","Firearm","GRINJ-006",45,415696,10.8
"55-64 years","55-64","Iowa","19","Motor Vehicle Traffic","GRINJ-008",68,415696,16.4
"55-64 years","55-64","Iowa","19","Non-Injury: All other diseases (Residual)","GR113-111",365,415696,87.8
"55-64 years","55-64","Iowa","19","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",110,415696,26.5
"55-64 years","55-64","Iowa","19","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",121,415696,29.1
