"state","-","age","-","kind","-",deaths,population,-
"Georgia","13","5-14 years","5-14","Suicide","2",19,1413003,Unreliable
"Georgia","13","5-14 years","5-14","Non-Injury, no intent classified","9",133,1413003,9.4
"Georgia","13","15-24 years","15-24","Unintentional","1",362,1449500,25.0
"Georgia","13","15-24 years","15-24","Suicide","2",199,1449500,13.7
"Georgia","13","15-24 years","15-24","Homicide","3",241,1449500,16.6
"Georgia","13","15-24 years","15-24","Undetermined ","4",12,1449500,Unreliable
"Georgia","13","15-24 years","15-24","Non-Injury, no intent classified","9",256,1449500,17.7
"Georgia","13","25-34 years","25-34","Unintentional","1",634,1493261,42.5
"Georgia","13","25-34 years","25-34","Suicide","2",292,1493261,19.6
"Georgia","13","25-34 years","25-34","Homicide","3",219,1493261,14.7
"Georgia","13","25-34 years","25-34","Non-Injury, no intent classified","9",751,1493261,50.3
"Georgia","13","35-44 years","35-44","Unintentional","1",626,1380954,45.3
"Georgia","13","35-44 years","35-44","Suicide","2",267,1380954,19.3
"Georgia","13","35-44 years","35-44","Homicide","3",150,1380954,10.9
"Georgia","13","35-44 years","35-44","Undetermined ","4",10,1380954,Unreliable
"Georgia","13","35-44 years","35-44","Non-Injury, no intent classified","9",1853,1380954,134.2
"Georgia","13","45-54 years","45-54","Unintentional","1",641,1399652,45.8
"Georgia","13","45-54 years","45-54","Suicide","2",297,1399652,21.2
"Georgia","13","45-54 years","45-54","Homicide","3",95,1399652,6.8
"Georgia","13","45-54 years","45-54","Undetermined ","4",14,1399652,Unreliable
"Georgia","13","45-54 years","45-54","Non-Injury, no intent classified","9",4901,1399652,350.2
"Georgia","13","55-64 years","55-64","Unintentional","1",692,1307533,52.9
"Georgia","13","55-64 years","55-64","Suicide","2",233,1307533,17.8
"Georgia","13","55-64 years","55-64","Homicide","3",77,1307533,5.9
"Georgia","13","55-64 years","55-64","Undetermined ","4",22,1307533,1.7
"Georgia","13","55-64 years","55-64","Non-Injury, no intent classified","9",12084,1307533,924.2
"Georgia","13","65-74 years","65-74","Unintentional","1",527,926001,56.9
"Georgia","13","65-74 years","65-74","Suicide","2",160,926001,17.3
"Georgia","13","65-74 years","65-74","Homicide","3",22,926001,2.4
"Georgia","13","65-74 years","65-74","Non-Injury, no intent classified","9",17939,926001,1937.3
"Georgia","13","75-84 years","75-84","Unintentional","1",453,439884,103.0
"Georgia","13","75-84 years","75-84","Suicide","2",85,439884,19.3
"Georgia","13","75-84 years","75-84","Non-Injury, no intent classified","9",19850,439884,4512.6
"Georgia","13","85+ years","85+","Unintentional","1",479,151069,317.1
"Georgia","13","85+ years","85+","Suicide","2",33,151069,21.8
"Georgia","13","85+ years","85+","Non-Injury, no intent classified","9",19999,151069,13238.3
"Hawaii","15","< 1 year","1","Non-Injury, no intent classified","9",80,16800,476.2
"Hawaii","15","1-4 years","1-4","Non-Injury, no intent classified","9",15,68419,Unreliable
"Hawaii","15","5-14 years","5-14","Non-Injury, no intent classified","9",15,167586,Unreliable
"Hawaii","15","15-24 years","15-24","Unintentional","1",35,165937,21.1
"Hawaii","15","15-24 years","15-24","Suicide","2",23,165937,13.9
"Hawaii","15","15-24 years","15-24","Non-Injury, no intent classified","9",18,165937,Unreliable
"Hawaii","15","25-34 years","25-34","Unintentional","1",53,199995,26.5
"Hawaii","15","25-34 years","25-34","Suicide","2",48,199995,24.0
"Hawaii","15","25-34 years","25-34","Non-Injury, no intent classified","9",73,199995,36.5
"Hawaii","15","35-44 years","35-44","Unintentional","1",75,181803,41.3
"Hawaii","15","35-44 years","35-44","Suicide","2",36,181803,19.8
"Hawaii","15","35-44 years","35-44","Non-Injury, no intent classified","9",202,181803,111.1
"Hawaii","15","45-54 years","45-54","Unintentional","1",87,167747,51.9
"Hawaii","15","45-54 years","45-54","Suicide","2",42,167747,25.0
"Hawaii","15","45-54 years","45-54","Non-Injury, no intent classified","9",490,167747,292.1
"Hawaii","15","55-64 years","55-64","Unintentional","1",125,179137,69.8
"Hawaii","15","55-64 years","55-64","Suicide","2",26,179137,14.5
"Hawaii","15","55-64 years","55-64","Non-Injury, no intent classified","9",1217,179137,679.4
"Hawaii","15","65-74 years","65-74","Unintentional","1",73,152092,48.0
"Hawaii","15","65-74 years","65-74","Suicide","2",26,152092,17.1
"Hawaii","15","65-74 years","65-74","Non-Injury, no intent classified","9",1993,152092,1310.4
"Hawaii","15","75-84 years","75-84","Unintentional","1",73,74688,97.7
"Hawaii","15","75-84 years","75-84","Suicide","2",14,74688,Unreliable
"Hawaii","15","75-84 years","75-84","Non-Injury, no intent classified","9",2304,74688,3084.8
"Hawaii","15","85+ years","85+","Unintentional","1",120,41668,288.0
"Hawaii","15","85+ years","85+","Non-Injury, no intent classified","9",4209,41668,10101.3
"Idaho","16","< 1 year","1","Non-Injury, no intent classified","9",88,22106,398.1
"Idaho","16","1-4 years","1-4","Non-Injury, no intent classified","9",11,94094,Unreliable
"Idaho","16","5-14 years","5-14","Unintentional","1",18,254788,Unreliable
"Idaho","16","5-14 years","5-14","Non-Injury, no intent classified","9",32,254788,12.6
"Idaho","16","15-24 years","15-24","Unintentional","1",74,241619,30.6
"Idaho","16","15-24 years","15-24","Suicide","2",53,241619,21.9
"Idaho","16","15-24 years","15-24","Non-Injury, no intent classified","9",37,241619,15.3
"Idaho","16","25-34 years","25-34","Unintentional","1",95,236490,40.2
"Idaho","16","25-34 years","25-34","Suicide","2",53,236490,22.4
"Idaho","16","25-34 years","25-34","Non-Injury, no intent classified","9",66,236490,27.9
"Idaho","16","35-44 years","35-44","Unintentional","1",106,227172,46.7
"Idaho","16","35-44 years","35-44","Suicide","2",65,227172,28.6
"Idaho","16","35-44 years","35-44","Non-Injury, no intent classified","9",191,227172,84.1
"Idaho","16","45-54 years","45-54","Unintentional","1",99,201766,49.1
"Idaho","16","45-54 years","45-54","Suicide","2",49,201766,24.3
"Idaho","16","45-54 years","45-54","Non-Injury, no intent classified","9",500,201766,247.8
"Idaho","16","55-64 years","55-64","Unintentional","1",124,218360,56.8
"Idaho","16","55-64 years","55-64","Suicide","2",54,218360,24.7
"Idaho","16","55-64 years","55-64","Non-Injury, no intent classified","9",1466,218360,671.4
"Idaho","16","65-74 years","65-74","Unintentional","1",101,175866,57.4
"Idaho","16","65-74 years","65-74","Suicide","2",39,175866,22.2
"Idaho","16","65-74 years","65-74","Non-Injury, no intent classified","9",2631,175866,1496.0
"Idaho","16","75-84 years","75-84","Unintentional","1",154,85030,181.1
"Idaho","16","75-84 years","75-84","Suicide","2",33,85030,38.8
"Idaho","16","75-84 years","75-84","Non-Injury, no intent classified","9",3700,85030,4351.4
"Idaho","16","85+ years","85+","Unintentional","1",162,29774,544.1
"Idaho","16","85+ years","85+","Suicide","2",11,29774,Unreliable
"Idaho","16","85+ years","85+","Non-Injury, no intent classified","9",4336,29774,14563.0
"Illinois","17","< 1 year","1","Unintentional","1",56,143723,39.0
"Illinois","17","< 1 year","1","Homicide","3",13,143723,Unreliable
"Illinois","17","< 1 year","1","Non-Injury, no intent classified","9",718,143723,499.6
"Illinois","17","1-4 years","1-4","Unintentional","1",31,603211,5.1
"Illinois","17","1-4 years","1-4","Homicide","3",13,603211,Unreliable
"Illinois","17","1-4 years","1-4","Non-Injury, no intent classified","9",83,603211,13.8
"Illinois","17","5-14 years","5-14","Unintentional","1",36,1575745,2.3
"Illinois","17","5-14 years","5-14","Suicide","2",10,1575745,Unreliable
"Illinois","17","5-14 years","5-14","Homicide","3",15,1575745,Unreliable
"Illinois","17","5-14 years","5-14","Non-Injury, no intent classified","9",105,1575745,6.7
"Illinois","17","15-24 years","15-24","Unintentional","1",340,1652607,20.6
"Illinois","17","15-24 years","15-24","Suicide","2",174,1652607,10.5
"Illinois","17","15-24 years","15-24","Homicide","3",318,1652607,19.2
"Illinois","17","15-24 years","15-24","Undetermined ","4",18,1652607,Unreliable
"Illinois","17","15-24 years","15-24","Non-Injury, no intent classified","9",257,1652607,15.6
"Illinois","17","25-34 years","25-34","Unintentional","1",836,1758096,47.6
"Illinois","17","25-34 years","25-34","Suicide","2",242,1758096,13.8
"Illinois","17","25-34 years","25-34","Homicide","3",297,1758096,16.9
"Illinois","17","25-34 years","25-34","Undetermined ","4",26,1758096,1.5
"Illinois","17","25-34 years","25-34","Non-Injury, no intent classified","9",736,1758096,41.9
"Illinois","17","35-44 years","35-44","Unintentional","1",899,1637135,54.9
"Illinois","17","35-44 years","35-44","Suicide","2",229,1637135,14.0
"Illinois","17","35-44 years","35-44","Homicide","3",153,1637135,9.3
"Illinois","17","35-44 years","35-44","Undetermined ","4",17,1637135,Unreliable
"Illinois","17","35-44 years","35-44","Non-Injury, no intent classified","9",1739,1637135,106.2
"Illinois","17","45-54 years","45-54","Unintentional","1",979,1599789,61.2
"Illinois","17","45-54 years","45-54","Suicide","2",254,1599789,15.9
"Illinois","17","45-54 years","45-54","Homicide","3",85,1599789,5.3
"Illinois","17","45-54 years","45-54","Undetermined ","4",27,1599789,1.7
"Illinois","17","45-54 years","45-54","Non-Injury, no intent classified","9",4636,1599789,289.8
"Illinois","17","55-64 years","55-64","Unintentional","1",939,1658283,56.6
"Illinois","17","55-64 years","55-64","Suicide","2",261,1658283,15.7
"Illinois","17","55-64 years","55-64","Homicide","3",48,1658283,2.9
"Illinois","17","55-64 years","55-64","Undetermined ","4",23,1658283,1.4
"Illinois","17","55-64 years","55-64","Non-Injury, no intent classified","9",12709,1658283,766.4
"Illinois","17","65-74 years","65-74","Unintentional","1",571,1176033,48.6
"Illinois","17","65-74 years","65-74","Suicide","2",152,1176033,12.9
"Illinois","17","65-74 years","65-74","Homicide","3",23,1176033,2.0
"Illinois","17","65-74 years","65-74","Undetermined ","4",14,1176033,Unreliable
"Illinois","17","65-74 years","65-74","Non-Injury, no intent classified","9",19883,1176033,1690.7
"Illinois","17","75-84 years","75-84","Unintentional","1",592,600230,98.6
"Illinois","17","75-84 years","75-84","Suicide","2",78,600230,13.0
"Illinois","17","75-84 years","75-84","Homicide","3",10,600230,Unreliable
"Illinois","17","75-84 years","75-84","Non-Injury, no intent classified","9",25277,600230,4211.2
"Illinois","17","85+ years","85+","Unintentional","1",816,266969,305.7
"Illinois","17","85+ years","85+","Suicide","2",39,266969,14.6
"Illinois","17","85+ years","85+","Non-Injury, no intent classified","9",34279,266969,12840.1
"Indiana","18","< 1 year","1","Unintentional","1",48,80356,59.7
"Indiana","18","< 1 year","1","Homicide","3",13,80356,Unreliable
"Indiana","18","< 1 year","1","Non-Injury, no intent classified","9",461,80356,573.7
"Indiana","18","1-4 years","1-4","Unintentional","1",40,337984,11.8
"Indiana","18","1-4 years","1-4","Non-Injury, no intent classified","9",49,337984,14.5
"Indiana","18","5-14 years","5-14","Unintentional","1",38,878981,4.3
"Indiana","18","5-14 years","5-14","Suicide","2",17,878981,Unreliable
"Indiana","18","5-14 years","5-14","Non-Injury, no intent classified","9",70,878981,8.0
"Indiana","18","15-24 years","15-24","Unintentional","1",284,930398,30.5
"Indiana","18","15-24 years","15-24","Suicide","2",117,930398,12.6
"Indiana","18","15-24 years","15-24","Homicide","3",146,930398,15.7
"Indiana","18","15-24 years","15-24","Undetermined ","4",18,930398,Unreliable
"Indiana","18","15-24 years","15-24","Non-Injury, no intent classified","9",183,930398,19.7
"Indiana","18","25-34 years","25-34","Unintentional","1",605,890687,67.9
"Indiana","18","25-34 years","25-34","Suicide","2",182,890687,20.4
"Indiana","18","25-34 years","25-34","Homicide","3",124,890687,13.9
"Indiana","18","25-34 years","25-34","Undetermined ","4",38,890687,4.3
"Indiana","18","25-34 years","25-34","Non-Injury, no intent classified","9",465,890687,52.2
"Indiana","18","35-44 years","35-44","Unintentional","1",628,828959,75.8
"Indiana","18","35-44 years","35-44","Suicide","2",153,828959,18.5
"Indiana","18","35-44 years","35-44","Homicide","3",78,828959,9.4
"Indiana","18","35-44 years","35-44","Undetermined ","4",34,828959,4.1
"Indiana","18","35-44 years","35-44","Non-Injury, no intent classified","9",1046,828959,126.2
"Indiana","18","45-54 years","45-54","Unintentional","1",532,824029,64.6
"Indiana","18","45-54 years","45-54","Suicide","2",165,824029,20.0
"Indiana","18","45-54 years","45-54","Homicide","3",41,824029,5.0
"Indiana","18","45-54 years","45-54","Undetermined ","4",22,824029,2.7
"Indiana","18","45-54 years","45-54","Non-Injury, no intent classified","9",3048,824029,369.9
"Indiana","18","55-64 years","55-64","Unintentional","1",537,875082,61.4
"Indiana","18","55-64 years","55-64","Suicide","2",155,875082,17.7
"Indiana","18","55-64 years","55-64","Homicide","3",32,875082,3.7
"Indiana","18","55-64 years","55-64","Undetermined ","4",22,875082,2.5
"Indiana","18","55-64 years","55-64","Non-Injury, no intent classified","9",8167,875082,933.3
"Indiana","18","65-74 years","65-74","Unintentional","1",353,636737,55.4
"Indiana","18","65-74 years","65-74","Suicide","2",100,636737,15.7
"Indiana","18","65-74 years","65-74","Homicide","3",14,636737,Unreliable
"Indiana","18","65-74 years","65-74","Non-Injury, no intent classified","9",12891,636737,2024.5
"Indiana","18","75-84 years","75-84","Unintentional","1",377,317937,118.6
"Indiana","18","75-84 years","75-84","Suicide","2",55,317937,17.3
"Indiana","18","75-84 years","75-84","Non-Injury, no intent classified","9",15604,317937,4907.9
"Indiana","18","85+ years","85+","Unintentional","1",434,131069,331.1
"Indiana","18","85+ years","85+","Suicide","2",28,131069,21.4
"Indiana","18","85+ years","85+","Non-Injury, no intent classified","9",18541,131069,14146.0
"Iowa","19","< 1 year","1","Unintentional","1",13,37540,Unreliable
"Iowa","19","< 1 year","1","Non-Injury, no intent classified","9",172,37540,458.2
"Iowa","19","1-4 years","1-4","Non-Injury, no intent classified","9",19,158096,Unreliable
"Iowa","19","5-14 years","5-14","Unintentional","1",22,408495,5.4
"Iowa","19","5-14 years","5-14","Non-Injury, no intent classified","9",33,408495,8.1
"Iowa","19","15-24 years","15-24","Unintentional","1",86,436415,19.7
"Iowa","19","15-24 years","15-24","Suicide","2",76,436415,17.4
"Iowa","19","15-24 years","15-24","Homicide","3",18,436415,Unreliable
"Iowa","19","15-24 years","15-24","Non-Injury, no intent classified","9",67,436415,15.4
"Iowa","19","25-34 years","25-34","Unintentional","1",140,398150,35.2
"Iowa","19","25-34 years","25-34","Suicide","2",104,398150,26.1
"Iowa","19","25-34 years","25-34","Homicide","3",20,398150,5.0
"Iowa","19","25-34 years","25-34","Non-Injury, no intent classified","9",158,398150,39.7
"Iowa","19","35-44 years","35-44","Unintentional","1",145,385215,37.6
"Iowa","19","35-44 years","35-44","Suicide","2",88,385215,22.8
"Iowa","19","35-44 years","35-44","Homicide","3",18,385215,Unreliable
"Iowa","19","35-44 years","35-44","Non-Injury, no intent classified","9",383,385215,99.4
"Iowa","19","45-54 years","45-54","Unintentional","1",155,362509,42.8
"Iowa","19","45-54 years","45-54","Suicide","2",81,362509,22.3
"Iowa","19","45-54 years","45-54","Non-Injury, no intent classified","9",1126,362509,310.6
"Iowa","19","55-64 years","55-64","Unintentional","1",229,415696,55.1
"Iowa","19","55-64 years","55-64","Suicide","2",92,415696,22.1
"Iowa","19","55-64 years","55-64","Non-Injury, no intent classified","9",3354,415696,806.8
"Iowa","19","65-74 years","65-74","Unintentional","1",186,311447,59.7
"Iowa","19","65-74 years","65-74","Suicide","2",41,311447,13.2
"Iowa","19","65-74 years","65-74","Non-Injury, no intent classified","9",5337,311447,1713.6
"Iowa","19","75-84 years","75-84","Unintentional","1",226,162833,138.8
"Iowa","19","75-84 years","75-84","Suicide","2",27,162833,16.6
"Iowa","19","75-84 years","75-84","Non-Injury, no intent classified","9",7218,162833,4432.8
"Iowa","19","85+ years","85+","Unintentional","1",330,78674,419.5
"Iowa","19","85+ years","85+","Suicide","2",13,78674,Unreliable
"Iowa","19","85+ years","85+","Non-Injury, no intent classified","9",10817,78674,13749.1
"Kansas","20","< 1 year","1","Unintentional","1",19,35325,Unreliable
"Kansas","20","< 1 year","1","Non-Injury, no intent classified","9",181,35325,512.4
"Kansas","20","1-4 years","1-4","Unintentional","1",11,150006,Unreliable
"Kansas","20","1-4 years","1-4","Non-Injury, no intent classified","9",19,150006,Unreliable
"Kansas","20","5-14 years","5-14","Unintentional","1",16,396266,Unreliable
"Kansas","20","5-14 years","5-14","Non-Injury, no intent classified","9",30,396266,7.6
"Kansas","20","15-24 years","15-24","Unintentional","1",111,412813,26.9
"Kansas","20","15-24 years","15-24","Suicide","2",85,412813,20.6
"Kansas","20","15-24 years","15-24","Homicide","3",32,412813,7.8
"Kansas","20","15-24 years","15-24","Non-Injury, no intent classified","9",55,412813,13.3
"Kansas","20","25-34 years","25-34","Unintentional","1",177,382922,46.2
"Kansas","20","25-34 years","25-34","Suicide","2",104,382922,27.2
"Kansas","20","25-34 years","25-34","Homicide","3",37,382922,9.7
"Kansas","20","25-34 years","25-34","Non-Injury, no intent classified","9",170,382922,44.4
"Kansas","20","35-44 years","35-44","Unintentional","1",158,361029,43.8
"Kansas","20","35-44 years","35-44","Suicide","2",106,361029,29.4
"Kansas","20","35-44 years","35-44","Homicide","3",21,361029,5.8
"Kansas","20","35-44 years","35-44","Non-Injury, no intent classified","9",405,361029,112.2
"Kansas","20","45-54 years","45-54","Unintentional","1",164,327961,50.0
"Kansas","20","45-54 years","45-54","Suicide","2",66,327961,20.1
"Kansas","20","45-54 years","45-54","Homicide","3",14,327961,Unreliable
"Kansas","20","45-54 years","45-54","Non-Injury, no intent classified","9",1015,327961,309.5
"Kansas","20","55-64 years","55-64","Unintentional","1",216,371505,58.1
"Kansas","20","55-64 years","55-64","Suicide","2",66,371505,17.8
"Kansas","20","55-64 years","55-64","Homicide","3",13,371505,Unreliable
"Kansas","20","55-64 years","55-64","Non-Injury, no intent classified","9",3263,371505,878.3
"Kansas","20","65-74 years","65-74","Unintentional","1",171,272236,62.8
"Kansas","20","65-74 years","65-74","Suicide","2",48,272236,17.6
"Kansas","20","65-74 years","65-74","Non-Injury, no intent classified","9",5000,272236,1836.6
"Kansas","20","75-84 years","75-84","Unintentional","1",203,137573,147.6
"Kansas","20","75-84 years","75-84","Suicide","2",23,137573,16.7
"Kansas","20","75-84 years","75-84","Non-Injury, no intent classified","9",6368,137573,4628.8
"Kansas","20","85+ years","85+","Unintentional","1",278,65678,423.3
"Kansas","20","85+ years","85+","Suicide","2",19,65678,Unreliable
"Kansas","20","85+ years","85+","Non-Injury, no intent classified","9",8956,65678,13636.2
"Kentucky","21","< 1 year","1","Unintentional","1",21,53154,39.5
"Kentucky","21","< 1 year","1","Non-Injury, no intent classified","9",243,53154,457.2
"Kentucky","21","1-4 years","1-4","Unintentional","1",22,219456,10.0
"Kentucky","21","1-4 years","1-4","Non-Injury, no intent classified","9",33,219456,15.0
"Kentucky","21","5-14 years","5-14","Unintentional","1",30,560417,5.4
"Kentucky","21","5-14 years","5-14","Non-Injury, no intent classified","9",54,560417,9.6
"Kentucky","21","15-24 years","15-24","Unintentional","1",190,583798,32.5
"Kentucky","21","15-24 years","15-24","Suicide","2",86,583798,14.7
"Kentucky","21","15-24 years","15-24","Homicide","3",66,583798,11.3
"Kentucky","21","15-24 years","15-24","Non-Injury, no intent classified","9",97,583798,16.6
"Kentucky","21","25-34 years","25-34","Unintentional","1",434,587380,73.9
"Kentucky","21","25-34 years","25-34","Suicide","2",125,587380,21.3
"Kentucky","21","25-34 years","25-34","Homicide","3",59,587380,10.0
"Kentucky","21","25-34 years","25-34","Non-Injury, no intent classified","9",365,587380,62.1
"Kentucky","21","35-44 years","35-44","Unintentional","1",544,550953,98.7
"Kentucky","21","35-44 years","35-44","Suicide","2",147,550953,26.7
"Kentucky","21","35-44 years","35-44","Homicide","3",50,550953,9.1
"Kentucky","21","35-44 years","35-44","Undetermined ","4",13,550953,Unreliable
"Kentucky","21","35-44 years","35-44","Non-Injury, no intent classified","9",893,550953,162.1
"Kentucky","21","45-54 years","45-54","Unintentional","1",528,563662,93.7
"Kentucky","21","45-54 years","45-54","Suicide","2",119,563662,21.1
"Kentucky","21","45-54 years","45-54","Homicide","3",31,563662,5.5
"Kentucky","21","45-54 years","45-54","Undetermined ","4",11,563662,Unreliable
"Kentucky","21","45-54 years","45-54","Non-Injury, no intent classified","9",2626,563662,465.9
"Kentucky","21","55-64 years","55-64","Unintentional","1",419,598289,70.0
"Kentucky","21","55-64 years","55-64","Suicide","2",142,598289,23.7
"Kentucky","21","55-64 years","55-64","Homicide","3",23,598289,3.8
"Kentucky","21","55-64 years","55-64","Undetermined ","4",15,598289,Unreliable
"Kentucky","21","55-64 years","55-64","Non-Injury, no intent classified","9",6836,598289,1142.6
"Kentucky","21","65-74 years","65-74","Unintentional","1",293,447876,65.4
"Kentucky","21","65-74 years","65-74","Suicide","2",85,447876,19.0
"Kentucky","21","65-74 years","65-74","Non-Injury, no intent classified","9",10108,447876,2256.9
"Kentucky","21","75-84 years","75-84","Unintentional","1",318,220820,144.0
"Kentucky","21","75-84 years","75-84","Suicide","2",32,220820,14.5
"Kentucky","21","75-84 years","75-84","Non-Injury, no intent classified","9",11803,220820,5345.1
"Kentucky","21","85+ years","85+","Unintentional","1",322,81868,393.3
"Kentucky","21","85+ years","85+","Suicide","2",12,81868,Unreliable
"Kentucky","21","85+ years","85+","Non-Injury, no intent classified","9",11729,81868,14326.7
"Louisiana","22","< 1 year","1","Unintentional","1",70,58010,120.7
"Louisiana","22","< 1 year","1","Homicide","3",10,58010,Unreliable
"Louisiana","22","< 1 year","1","Non-Injury, no intent classified","9",388,58010,668.9
"Louisiana","22","1-4 years","1-4","Unintentional","1",32,243459,13.1
"Louisiana","22","1-4 years","1-4","Non-Injury, no intent classified","9",38,243459,15.6
"Louisiana","22","5-14 years","5-14","Unintentional","1",37,607936,6.1
"Louisiana","22","5-14 years","5-14","Homicide","3",16,607936,Unreliable
"Louisiana","22","5-14 years","5-14","Non-Injury, no intent classified","9",51,607936,8.4
"Louisiana","22","15-24 years","15-24","Unintentional","1",183,597268,30.6
"Louisiana","22","15-24 years","15-24","Suicide","2",96,597268,16.1
"Louisiana","22","15-24 years","15-24","Homicide","3",167,597268,28.0
"Louisiana","22","15-24 years","15-24","Undetermined ","4",13,597268,Unreliable
"Louisiana","22","15-24 years","15-24","Non-Injury, no intent classified","9",147,597268,24.6
"Louisiana","22","25-34 years","25-34","Unintentional","1",446,658227,67.8
"Louisiana","22","25-34 years","25-34","Suicide","2",103,658227,15.6
"Louisiana","22","25-34 years","25-34","Homicide","3",176,658227,26.7
"Louisiana","22","25-34 years","25-34","Undetermined ","4",25,658227,3.8
"Louisiana","22","25-34 years","25-34","Non-Injury, no intent classified","9",368,658227,55.9
"Louisiana","22","35-44 years","35-44","Unintentional","1",558,589854,94.6
"Louisiana","22","35-44 years","35-44","Suicide","2",127,589854,21.5
"Louisiana","22","35-44 years","35-44","Homicide","3",139,589854,23.6
"Louisiana","22","35-44 years","35-44","Undetermined ","4",25,589854,4.2
"Louisiana","22","35-44 years","35-44","Non-Injury, no intent classified","9",882,589854,149.5
"Louisiana","22","45-54 years","45-54","Unintentional","1",454,548348,82.8
"Louisiana","22","45-54 years","45-54","Suicide","2",130,548348,23.7
"Louisiana","22","45-54 years","45-54","Homicide","3",58,548348,10.6
"Louisiana","22","45-54 years","45-54","Undetermined ","4",15,548348,Unreliable
"Louisiana","22","45-54 years","45-54","Non-Injury, no intent classified","9",2336,548348,426.0
"Louisiana","22","55-64 years","55-64","Unintentional","1",402,604670,66.5
"Louisiana","22","55-64 years","55-64","Suicide","2",121,604670,20.0
"Louisiana","22","55-64 years","55-64","Homicide","3",49,604670,8.1
"Louisiana","22","55-64 years","55-64","Undetermined ","4",19,604670,Unreliable
"Louisiana","22","55-64 years","55-64","Non-Injury, no intent classified","9",6581,604670,1088.4
"Louisiana","22","65-74 years","65-74","Unintentional","1",262,442534,59.2
"Louisiana","22","65-74 years","65-74","Suicide","2",67,442534,15.1
"Louisiana","22","65-74 years","65-74","Homicide","3",20,442534,4.5
"Louisiana","22","65-74 years","65-74","Non-Injury, no intent classified","9",9308,442534,2103.3
"Louisiana","22","75-84 years","75-84","Unintentional","1",239,216431,110.4
"Louisiana","22","75-84 years","75-84","Suicide","2",37,216431,17.1
"Louisiana","22","75-84 years","75-84","Non-Injury, no intent classified","9",10477,216431,4840.8
"Louisiana","22","85+ years","85+","Unintentional","1",233,82057,283.9
"Louisiana","22","85+ years","85+","Suicide","2",14,82057,Unreliable
"Louisiana","22","85+ years","85+","Non-Injury, no intent classified","9",10974,82057,13373.6
"Maine","23","< 1 year","1","Unintentional","1",12,12035,Unreliable
"Maine","23","< 1 year","1","Non-Injury, no intent classified","9",51,12035,423.8
"Maine","23","5-14 years","5-14","Non-Injury, no intent classified","9",12,140100,Unreliable
"Maine","23","15-24 years","15-24","Unintentional","1",44,152137,28.9
"Maine","23","15-24 years","15-24","Suicide","2",27,152137,17.7
"Maine","23","15-24 years","15-24","Non-Injury, no intent classified","9",22,152137,14.5
"Maine","23","25-34 years","25-34","Unintentional","1",133,162808,81.7
"Maine","23","25-34 years","25-34","Suicide","2",41,162808,25.2
"Maine","23","25-34 years","25-34","Non-Injury, no intent classified","9",64,162808,39.3
"Maine","23","35-44 years","35-44","Unintentional","1",134,154075,87.0
"Maine","23","35-44 years","35-44","Suicide","2",40,154075,26.0
"Maine","23","35-44 years","35-44","Non-Injury, no intent classified","9",182,154075,118.1
"Maine","23","45-54 years","45-54","Unintentional","1",118,174730,67.5
"Maine","23","45-54 years","45-54","Suicide","2",59,174730,33.8
"Maine","23","45-54 years","45-54","Non-Injury, no intent classified","9",537,174730,307.3
"Maine","23","55-64 years","55-64","Unintentional","1",116,211560,54.8
"Maine","23","55-64 years","55-64","Suicide","2",42,211560,19.9
"Maine","23","55-64 years","55-64","Non-Injury, no intent classified","9",1630,211560,770.5
"Maine","23","65-74 years","65-74","Unintentional","1",112,169079,66.2
"Maine","23","65-74 years","65-74","Suicide","2",37,169079,21.9
"Maine","23","65-74 years","65-74","Non-Injury, no intent classified","9",2752,169079,1627.6
"Maine","23","75-84 years","75-84","Unintentional","1",139,82386,168.7
"Maine","23","75-84 years","75-84","Suicide","2",20,82386,24.3
"Maine","23","75-84 years","75-84","Non-Injury, no intent classified","9",3709,82386,4502.0
"Maine","23","85+ years","85+","Unintentional","1",213,33800,630.2
"Maine","23","85+ years","85+","Non-Injury, no intent classified","9",4758,33800,14076.9
"Maryland","24","< 1 year","1","Unintentional","1",10,69926,Unreliable
"Maryland","24","< 1 year","1","Non-Injury, no intent classified","9",398,69926,569.2
"Maryland","24","1-4 years","1-4","Non-Injury, no intent classified","9",53,292011,18.2
"Maryland","24","5-14 years","5-14","Unintentional","1",21,747869,2.8
"Maryland","24","5-14 years","5-14","Non-Injury, no intent classified","9",47,747869,6.3
"Maryland","24","15-24 years","15-24","Unintentional","1",145,751030,19.3
"Maryland","24","15-24 years","15-24","Suicide","2",79,751030,10.5
"Maryland","24","15-24 years","15-24","Homicide","3",157,751030,20.9
"Maryland","24","15-24 years","15-24","Undetermined ","4",92,751030,12.2
"Maryland","24","15-24 years","15-24","Non-Injury, no intent classified","9",122,751030,16.2
"Maryland","24","25-34 years","25-34","Unintentional","1",289,829249,34.9
"Maryland","24","25-34 years","25-34","Suicide","2",112,829249,13.5
"Maryland","24","25-34 years","25-34","Homicide","3",226,829249,27.3
"Maryland","24","25-34 years","25-34","Undetermined ","4",382,829249,46.1
"Maryland","24","25-34 years","25-34","Non-Injury, no intent classified","9",357,829249,43.1
"Maryland","24","35-44 years","35-44","Unintentional","1",271,782213,34.6
"Maryland","24","35-44 years","35-44","Suicide","2",97,782213,12.4
"Maryland","24","35-44 years","35-44","Homicide","3",83,782213,10.6
"Maryland","24","35-44 years","35-44","Undetermined ","4",384,782213,49.1
