state,kind,age,deaths,population
Indiana,Car accidents,< 1 year,Suppressed,80356
Indiana,Car accidents,All Ages,839,6732219
Indiana,Car accidents,Not Stated,Suppressed,Not Applicable
Indiana,Cerebrovascular Diseases,1-4 years,Suppressed,337984
Indiana,Cerebrovascular Diseases,15-24 years,Suppressed,930398
Indiana,Cerebrovascular Diseases,25-34 years,Suppressed,890687
Indiana,Cerebrovascular Diseases,35-44 years,Suppressed,828959
Indiana,Cerebrovascular Diseases,45-54 years,Suppressed,824029
Indiana,Cerebrovascular Diseases,5-14 years,Suppressed,878981
Indiana,Cerebrovascular Diseases,55-64 years,Suppressed,875082
Indiana,Cerebrovascular Diseases,65-74 years,Suppressed,636737
Indiana,Cerebrovascular Diseases,75-84 years,Suppressed,317937
Indiana,Cerebrovascular Diseases,85+ years,Suppressed,131069
Indiana,Cerebrovascular Diseases,< 1 year,Suppressed,80356
Indiana,Cerebrovascular Diseases,All Ages,Suppressed,6732219
Indiana,Cerebrovascular Diseases,Not Stated,Suppressed,Not Applicable
Indiana,Diabetes Disease,1-4 years,Suppressed,337984
Indiana,Diabetes Disease,15-24 years,Suppressed,930398
Indiana,Diabetes Disease,25-34 years,Suppressed,890687
Indiana,Diabetes Disease,35-44 years,Suppressed,828959
Indiana,Diabetes Disease,45-54 years,Suppressed,824029
Indiana,Diabetes Disease,5-14 years,Suppressed,878981
Indiana,Diabetes Disease,55-64 years,Suppressed,875082
Indiana,Diabetes Disease,65-74 years,Suppressed,636737
Indiana,Diabetes Disease,75-84 years,Suppressed,317937
Indiana,Diabetes Disease,85+ years,Suppressed,131069
Indiana,Diabetes Disease,< 1 year,Suppressed,80356
Indiana,Diabetes Disease,All Ages,Suppressed,6732219
Indiana,Diabetes Disease,Not Stated,Suppressed,Not Applicable
Indiana,Drowning Accidents,1-4 years,14,337984
Indiana,Drowning Accidents,15-24 years,Suppressed,930398
Indiana,Drowning Accidents,25-34 years,Suppressed,890687
Indiana,Drowning Accidents,35-44 years,Suppressed,828959
Indiana,Drowning Accidents,45-54 years,Suppressed,824029
Indiana,Drowning Accidents,5-14 years,Suppressed,878981
Indiana,Drowning Accidents,55-64 years,Suppressed,875082
Indiana,Drowning Accidents,65-74 years,Suppressed,636737
Indiana,Drowning Accidents,75-84 years,Suppressed,317937
Indiana,Drowning Accidents,85+ years,Suppressed,131069
Indiana,Drowning Accidents,< 1 year,Suppressed,80356
Indiana,Drowning Accidents,All Ages,71,6732219
Indiana,Drowning Accidents,Not Stated,Suppressed,Not Applicable
Indiana,Heart Diseases,1-4 years,Suppressed,337984
Indiana,Heart Diseases,15-24 years,Suppressed,930398
Indiana,Heart Diseases,25-34 years,Suppressed,890687
Indiana,Heart Diseases,35-44 years,Suppressed,828959
Indiana,Heart Diseases,45-54 years,Suppressed,824029
Indiana,Heart Diseases,5-14 years,Suppressed,878981
Indiana,Heart Diseases,55-64 years,Suppressed,875082
Indiana,Heart Diseases,65-74 years,Suppressed,636737
Indiana,Heart Diseases,75-84 years,Suppressed,317937
Indiana,Heart Diseases,85+ years,Suppressed,131069
Indiana,Heart Diseases,< 1 year,Suppressed,80356
Indiana,Heart Diseases,All Ages,Suppressed,6732219
Indiana,Heart Diseases,Not Stated,Suppressed,Not Applicable
Indiana,Homicides,1-4 years,Suppressed,337984
Indiana,Homicides,15-24 years,146,930398
Indiana,Homicides,25-34 years,124,890687
Indiana,Homicides,35-44 years,78,828959
Indiana,Homicides,45-54 years,41,824029
Indiana,Homicides,5-14 years,Suppressed,878981
Indiana,Homicides,55-64 years,32,875082
Indiana,Homicides,65-74 years,14,636737
Indiana,Homicides,75-84 years,Suppressed,317937
Indiana,Homicides,85+ years,Suppressed,131069
Indiana,Homicides,< 1 year,13,80356
Indiana,Homicides,All Ages,466,6732219
Indiana,Homicides,Not Stated,Suppressed,Not Applicable
Indiana,Influenza Pneumonia,1-4 years,Suppressed,337984
Indiana,Influenza Pneumonia,15-24 years,Suppressed,930398
Indiana,Influenza Pneumonia,25-34 years,Suppressed,890687
Indiana,Influenza Pneumonia,35-44 years,Suppressed,828959
Indiana,Influenza Pneumonia,45-54 years,Suppressed,824029
Indiana,Influenza Pneumonia,5-14 years,Suppressed,878981
Indiana,Influenza Pneumonia,55-64 years,Suppressed,875082
Indiana,Influenza Pneumonia,65-74 years,Suppressed,636737
Indiana,Influenza Pneumonia,75-84 years,Suppressed,317937
Indiana,Influenza Pneumonia,85+ years,Suppressed,131069
Indiana,Influenza Pneumonia,< 1 year,Suppressed,80356
Indiana,Influenza Pneumonia,All Ages,Suppressed,6732219
Indiana,Influenza Pneumonia,Not Stated,Suppressed,Not Applicable
Indiana,Liver Disease,1-4 years,Suppressed,337984
Indiana,Liver Disease,15-24 years,Suppressed,930398
Indiana,Liver Disease,25-34 years,Suppressed,890687
Indiana,Liver Disease,35-44 years,Suppressed,828959
Indiana,Liver Disease,45-54 years,Suppressed,824029
Indiana,Liver Disease,5-14 years,Suppressed,878981
Indiana,Liver Disease,55-64 years,Suppressed,875082
Indiana,Liver Disease,65-74 years,Suppressed,636737
Indiana,Liver Disease,75-84 years,Suppressed,317937
Indiana,Liver Disease,85+ years,Suppressed,131069
Indiana,Liver Disease,< 1 year,Suppressed,80356
Indiana,Liver Disease,All Ages,Suppressed,6732219
Indiana,Liver Disease,Not Stated,Suppressed,Not Applicable
Indiana,Poisoning Accidents,1-4 years,Suppressed,337984
Indiana,Poisoning Accidents,15-24 years,107,930398
Indiana,Poisoning Accidents,25-34 years,418,890687
Indiana,Poisoning Accidents,35-44 years,449,828959
Indiana,Poisoning Accidents,45-54 years,321,824029
Indiana,Poisoning Accidents,5-14 years,Suppressed,878981
Indiana,Poisoning Accidents,55-64 years,241,875082
Indiana,Poisoning Accidents,65-74 years,66,636737
Indiana,Poisoning Accidents,75-84 years,17,317937
Indiana,Poisoning Accidents,85+ years,Suppressed,131069
Indiana,Poisoning Accidents,< 1 year,Suppressed,80356
Indiana,Poisoning Accidents,All Ages,1624,6732219
Indiana,Poisoning Accidents,Not Stated,Suppressed,Not Applicable
Indiana,Respiratory Clrd Disease,1-4 years,Suppressed,337984
Indiana,Respiratory Clrd Disease,15-24 years,Suppressed,930398
Indiana,Respiratory Clrd Disease,25-34 years,Suppressed,890687
Indiana,Respiratory Clrd Disease,35-44 years,Suppressed,828959
Indiana,Respiratory Clrd Disease,45-54 years,Suppressed,824029
Indiana,Respiratory Clrd Disease,5-14 years,Suppressed,878981
Indiana,Respiratory Clrd Disease,55-64 years,Suppressed,875082
Indiana,Respiratory Clrd Disease,65-74 years,Suppressed,636737
Indiana,Respiratory Clrd Disease,75-84 years,Suppressed,317937
Indiana,Respiratory Clrd Disease,85+ years,Suppressed,131069
Indiana,Respiratory Clrd Disease,< 1 year,Suppressed,80356
Indiana,Respiratory Clrd Disease,All Ages,Suppressed,6732219
Indiana,Respiratory Clrd Disease,Not Stated,Suppressed,Not Applicable
Indiana,Suffocation Accidents,1-4 years,Suppressed,337984
Indiana,Suffocation Accidents,15-24 years,Suppressed,930398
Indiana,Suffocation Accidents,25-34 years,Suppressed,890687
Indiana,Suffocation Accidents,35-44 years,Suppressed,828959
Indiana,Suffocation Accidents,45-54 years,19,824029
Indiana,Suffocation Accidents,5-14 years,Suppressed,878981
Indiana,Suffocation Accidents,55-64 years,26,875082
Indiana,Suffocation Accidents,65-74 years,28,636737
Indiana,Suffocation Accidents,75-84 years,29,317937
Indiana,Suffocation Accidents,85+ years,36,131069
Indiana,Suffocation Accidents,< 1 year,42,80356
Indiana,Suffocation Accidents,All Ages,203,6732219
Indiana,Suffocation Accidents,Not Stated,Suppressed,Not Applicable
Indiana,Suicides,1-4 years,Suppressed,337984
Indiana,Suicides,15-24 years,117,930398
Indiana,Suicides,25-34 years,182,890687
Indiana,Suicides,35-44 years,153,828959
Indiana,Suicides,45-54 years,165,824029
Indiana,Suicides,5-14 years,17,878981
Indiana,Suicides,55-64 years,155,875082
Indiana,Suicides,65-74 years,100,636737
Indiana,Suicides,75-84 years,55,317937
Indiana,Suicides,85+ years,28,131069
Indiana,Suicides,< 1 year,Suppressed,80356
Indiana,Suicides,All Ages,972,6732219
Indiana,Suicides,Not Stated,Suppressed,Not Applicable
Indiana,all accidents,1-4 years,40,337984
Indiana,all accidents,15-24 years,284,930398
Indiana,all accidents,25-34 years,605,890687
Indiana,all accidents,35-44 years,628,828959
Indiana,all accidents,45-54 years,532,824029
Indiana,all accidents,5-14 years,38,878981
Indiana,all accidents,55-64 years,537,875082
Indiana,all accidents,65-74 years,353,636737
Indiana,all accidents,75-84 years,377,317937
Indiana,all accidents,85+ years,434,131069
Indiana,all accidents,< 1 year,48,80356
Indiana,all accidents,Not Stated,Suppressed,Not Applicable
Indiana,all deaths,1-4 years,95,337984
Indiana,all deaths,15-24 years,751,930398
Indiana,all deaths,25-34 years,1417,890687
Indiana,all deaths,35-44 years,1940,828959
Indiana,all deaths,45-54 years,3811,824029
Indiana,all deaths,5-14 years,133,878981
Indiana,all deaths,55-64 years,8915,875082
Indiana,all deaths,65-74 years,13361,636737
Indiana,all deaths,75-84 years,16045,317937
Indiana,all deaths,85+ years,19008,131069
Indiana,all deaths,< 1 year,525,80356
Indiana,all deaths,All Ages,66001,6732219
Indiana,all deaths,Not Stated,Suppressed,Not Applicable
Indiana,all diseases,1-4 years,49,337984
Indiana,all diseases,15-24 years,183,930398
Indiana,all diseases,25-34 years,465,890687
Indiana,all diseases,35-44 years,1046,828959
Indiana,all diseases,45-54 years,3048,824029
Indiana,all diseases,5-14 years,70,878981
Indiana,all diseases,55-64 years,8167,875082
Indiana,all diseases,65-74 years,12891,636737
Indiana,all diseases,75-84 years,15604,317937
Indiana,all diseases,85+ years,18541,131069
Indiana,all diseases,< 1 year,461,80356
Indiana,all diseases,Not Stated,Suppressed,Not Applicable
Iowa,Alzheimers Disease,1-4 years,Suppressed,158096
Iowa,Alzheimers Disease,15-24 years,Suppressed,436415
Iowa,Alzheimers Disease,25-34 years,Suppressed,398150
Iowa,Alzheimers Disease,35-44 years,Suppressed,385215
Iowa,Alzheimers Disease,45-54 years,Suppressed,362509
Iowa,Alzheimers Disease,5-14 years,Suppressed,408495
Iowa,Alzheimers Disease,55-64 years,Suppressed,415696
Iowa,Alzheimers Disease,65-74 years,Suppressed,311447
Iowa,Alzheimers Disease,75-84 years,Suppressed,162833
Iowa,Alzheimers Disease,85+ years,Suppressed,78674
Iowa,Alzheimers Disease,< 1 year,Suppressed,37540
Iowa,Alzheimers Disease,All Ages,Suppressed,3155070
Iowa,Alzheimers Disease,Not Stated,Suppressed,Not Applicable
Iowa,Cancer,1-4 years,Suppressed,158096
Iowa,Cancer,15-24 years,Suppressed,436415
Iowa,Cancer,25-34 years,Suppressed,398150
Iowa,Cancer,35-44 years,Suppressed,385215
Iowa,Cancer,45-54 years,Suppressed,362509
Iowa,Cancer,5-14 years,Suppressed,408495
Iowa,Cancer,55-64 years,Suppressed,415696
Iowa,Cancer,65-74 years,Suppressed,311447
Iowa,Cancer,75-84 years,Suppressed,162833
Iowa,Cancer,85+ years,Suppressed,78674
Iowa,Cancer,< 1 year,Suppressed,37540
Iowa,Cancer,All Ages,Suppressed,3155070
Iowa,Cancer,Not Stated,Suppressed,Not Applicable
Iowa,Car accidents,1-4 years,Suppressed,158096
Iowa,Car accidents,15-24 years,52,436415
Iowa,Car accidents,25-34 years,50,398150
Iowa,Car accidents,35-44 years,44,385215
Iowa,Car accidents,45-54 years,43,362509
Iowa,Car accidents,5-14 years,Suppressed,408495
Iowa,Car accidents,55-64 years,68,415696
Iowa,Car accidents,65-74 years,41,311447
Iowa,Car accidents,75-84 years,33,162833
Iowa,Car accidents,85+ years,Suppressed,78674
Iowa,Car accidents,< 1 year,Suppressed,37540
Iowa,Car accidents,All Ages,351,3155070
Iowa,Car accidents,Not Stated,Suppressed,Not Applicable
Iowa,Cerebrovascular Diseases,1-4 years,Suppressed,158096
Iowa,Cerebrovascular Diseases,15-24 years,Suppressed,436415
Iowa,Cerebrovascular Diseases,25-34 years,Suppressed,398150
Iowa,Cerebrovascular Diseases,35-44 years,Suppressed,385215
Iowa,Cerebrovascular Diseases,45-54 years,Suppressed,362509
Iowa,Cerebrovascular Diseases,5-14 years,Suppressed,408495
Iowa,Cerebrovascular Diseases,55-64 years,Suppressed,415696
Iowa,Cerebrovascular Diseases,65-74 years,Suppressed,311447
Iowa,Cerebrovascular Diseases,75-84 years,Suppressed,162833
Iowa,Cerebrovascular Diseases,85+ years,Suppressed,78674
Iowa,Cerebrovascular Diseases,< 1 year,Suppressed,37540
Iowa,Cerebrovascular Diseases,All Ages,Suppressed,3155070
Iowa,Cerebrovascular Diseases,Not Stated,Suppressed,Not Applicable
Iowa,Diabetes Disease,1-4 years,Suppressed,158096
Iowa,Diabetes Disease,15-24 years,Suppressed,436415
Iowa,Diabetes Disease,25-34 years,Suppressed,398150
Iowa,Diabetes Disease,35-44 years,Suppressed,385215
Iowa,Diabetes Disease,45-54 years,Suppressed,362509
Iowa,Diabetes Disease,5-14 years,Suppressed,408495
Iowa,Diabetes Disease,55-64 years,Suppressed,415696
Iowa,Diabetes Disease,65-74 years,Suppressed,311447
Iowa,Diabetes Disease,75-84 years,Suppressed,162833
Iowa,Diabetes Disease,85+ years,Suppressed,78674
Iowa,Diabetes Disease,< 1 year,Suppressed,37540
Iowa,Diabetes Disease,All Ages,Suppressed,3155070
Iowa,Diabetes Disease,Not Stated,Suppressed,Not Applicable
Iowa,Drowning Accidents,1-4 years,Suppressed,158096
Iowa,Drowning Accidents,15-24 years,Suppressed,436415
Iowa,Drowning Accidents,25-34 years,Suppressed,398150
Iowa,Drowning Accidents,35-44 years,Suppressed,385215
Iowa,Drowning Accidents,45-54 years,Suppressed,362509
Iowa,Drowning Accidents,5-14 years,Suppressed,408495
Iowa,Drowning Accidents,55-64 years,Suppressed,415696
Iowa,Drowning Accidents,65-74 years,Suppressed,311447
Iowa,Drowning Accidents,75-84 years,Suppressed,162833
Iowa,Drowning Accidents,85+ years,Suppressed,78674
Iowa,Drowning Accidents,< 1 year,Suppressed,37540
Iowa,Drowning Accidents,All Ages,30,3155070
Iowa,Drowning Accidents,Not Stated,Suppressed,Not Applicable
Iowa,Heart Diseases,1-4 years,Suppressed,158096
Iowa,Heart Diseases,15-24 years,Suppressed,436415
Iowa,Heart Diseases,25-34 years,Suppressed,398150
Iowa,Heart Diseases,35-44 years,Suppressed,385215
Iowa,Heart Diseases,45-54 years,Suppressed,362509
Iowa,Heart Diseases,5-14 years,Suppressed,408495
Iowa,Heart Diseases,55-64 years,Suppressed,415696
Iowa,Heart Diseases,65-74 years,Suppressed,311447
Iowa,Heart Diseases,75-84 years,Suppressed,162833
Iowa,Heart Diseases,85+ years,Suppressed,78674
Iowa,Heart Diseases,< 1 year,Suppressed,37540
Iowa,Heart Diseases,All Ages,Suppressed,3155070
Iowa,Heart Diseases,Not Stated,Suppressed,Not Applicable
Iowa,Homicides,1-4 years,Suppressed,158096
Iowa,Homicides,15-24 years,18,436415
Iowa,Homicides,25-34 years,20,398150
Iowa,Homicides,35-44 years,18,385215
Iowa,Homicides,45-54 years,Suppressed,362509
Iowa,Homicides,5-14 years,Suppressed,408495
Iowa,Homicides,55-64 years,Suppressed,415696
Iowa,Homicides,65-74 years,Suppressed,311447
Iowa,Homicides,75-84 years,Suppressed,162833
Iowa,Homicides,85+ years,Suppressed,78674
Iowa,Homicides,< 1 year,Suppressed,37540
Iowa,Homicides,All Ages,80,3155070
Iowa,Homicides,Not Stated,Suppressed,Not Applicable
Iowa,Influenza Pneumonia,1-4 years,Suppressed,158096
Iowa,Influenza Pneumonia,15-24 years,Suppressed,436415
Iowa,Influenza Pneumonia,25-34 years,Suppressed,398150
Iowa,Influenza Pneumonia,35-44 years,Suppressed,385215
Iowa,Influenza Pneumonia,45-54 years,Suppressed,362509
Iowa,Influenza Pneumonia,5-14 years,Suppressed,408495
Iowa,Influenza Pneumonia,55-64 years,Suppressed,415696
Iowa,Influenza Pneumonia,65-74 years,Suppressed,311447
Iowa,Influenza Pneumonia,75-84 years,Suppressed,162833
Iowa,Influenza Pneumonia,85+ years,Suppressed,78674
Iowa,Influenza Pneumonia,< 1 year,Suppressed,37540
Iowa,Influenza Pneumonia,All Ages,Suppressed,3155070
Iowa,Influenza Pneumonia,Not Stated,Suppressed,Not Applicable
Iowa,Liver Disease,1-4 years,Suppressed,158096
Iowa,Liver Disease,15-24 years,Suppressed,436415
Iowa,Liver Disease,25-34 years,Suppressed,398150
Iowa,Liver Disease,35-44 years,Suppressed,385215
Iowa,Liver Disease,45-54 years,Suppressed,362509
Iowa,Liver Disease,5-14 years,Suppressed,408495
Iowa,Liver Disease,55-64 years,Suppressed,415696
Iowa,Liver Disease,65-74 years,Suppressed,311447
Iowa,Liver Disease,75-84 years,Suppressed,162833
Iowa,Liver Disease,85+ years,Suppressed,78674
Iowa,Liver Disease,< 1 year,Suppressed,37540
Iowa,Liver Disease,All Ages,Suppressed,3155070
Iowa,Liver Disease,Not Stated,Suppressed,Not Applicable
Iowa,Poisoning Accidents,1-4 years,Suppressed,158096
Iowa,Poisoning Accidents,15-24 years,17,436415
Iowa,Poisoning Accidents,25-34 years,68,398150
Iowa,Poisoning Accidents,35-44 years,72,385215
Iowa,Poisoning Accidents,45-54 years,72,362509
Iowa,Poisoning Accidents,5-14 years,Suppressed,408495
Iowa,Poisoning Accidents,55-64 years,66,415696
Iowa,Poisoning Accidents,65-74 years,19,311447
Iowa,Poisoning Accidents,75-84 years,Suppressed,162833
Iowa,Poisoning Accidents,85+ years,Suppressed,78674
Iowa,Poisoning Accidents,< 1 year,Suppressed,37540
Iowa,Poisoning Accidents,All Ages,320,3155070
Iowa,Poisoning Accidents,Not Stated,Suppressed,Not Applicable
Iowa,Respiratory Clrd Disease,1-4 years,Suppressed,158096
Iowa,Respiratory Clrd Disease,15-24 years,Suppressed,436415
Iowa,Respiratory Clrd Disease,25-34 years,Suppressed,398150
Iowa,Respiratory Clrd Disease,35-44 years,Suppressed,385215
Iowa,Respiratory Clrd Disease,45-54 years,Suppressed,362509
Iowa,Respiratory Clrd Disease,5-14 years,Suppressed,408495
Iowa,Respiratory Clrd Disease,55-64 years,Suppressed,415696
Iowa,Respiratory Clrd Disease,65-74 years,Suppressed,311447
Iowa,Respiratory Clrd Disease,75-84 years,Suppressed,162833
Iowa,Respiratory Clrd Disease,85+ years,Suppressed,78674
Iowa,Respiratory Clrd Disease,< 1 year,Suppressed,37540
Iowa,Respiratory Clrd Disease,All Ages,Suppressed,3155070
Iowa,Respiratory Clrd Disease,Not Stated,Suppressed,Not Applicable
Iowa,Suffocation Accidents,1-4 years,Suppressed,158096
Iowa,Suffocation Accidents,15-24 years,Suppressed,436415
Iowa,Suffocation Accidents,25-34 years,Suppressed,398150
Iowa,Suffocation Accidents,35-44 years,Suppressed,385215
Iowa,Suffocation Accidents,45-54 years,Suppressed,362509
Iowa,Suffocation Accidents,5-14 years,Suppressed,408495
Iowa,Suffocation Accidents,55-64 years,11,415696
Iowa,Suffocation Accidents,65-74 years,15,311447
Iowa,Suffocation Accidents,75-84 years,14,162833
Iowa,Suffocation Accidents,85+ years,22,78674
Iowa,Suffocation Accidents,< 1 year,11,37540
Iowa,Suffocation Accidents,All Ages,93,3155070
Iowa,Suffocation Accidents,Not Stated,Suppressed,Not Applicable
Iowa,Suicides,1-4 years,Suppressed,158096
Iowa,Suicides,15-24 years,76,436415
Iowa,Suicides,25-34 years,104,398150
Iowa,Suicides,35-44 years,88,385215
Iowa,Suicides,45-54 years,81,362509
Iowa,Suicides,5-14 years,Suppressed,408495
Iowa,Suicides,55-64 years,92,415696
Iowa,Suicides,65-74 years,41,311447
Iowa,Suicides,75-84 years,27,162833
Iowa,Suicides,85+ years,13,78674
Iowa,Suicides,< 1 year,Suppressed,37540
Iowa,Suicides,All Ages,528,3155070
Iowa,Suicides,Not Stated,Suppressed,Not Applicable
Iowa,all accidents,1-4 years,Suppressed,158096
Iowa,all accidents,15-24 years,86,436415
Iowa,all accidents,25-34 years,140,398150
Iowa,all accidents,35-44 years,145,385215
Iowa,all accidents,45-54 years,155,362509
Iowa,all accidents,5-14 years,22,408495
Iowa,all accidents,55-64 years,229,415696
Iowa,all accidents,65-74 years,186,311447
Iowa,all accidents,75-84 years,226,162833
Iowa,all accidents,85+ years,330,78674
Iowa,all accidents,< 1 year,13,37540
Iowa,all accidents,Not Stated,Suppressed,Not Applicable
Iowa,all deaths,1-4 years,26,158096
Iowa,all deaths,15-24 years,253,436415
Iowa,all deaths,25-34 years,428,398150
Iowa,all deaths,35-44 years,638,385215
Iowa,all deaths,45-54 years,1376,362509
Iowa,all deaths,5-14 years,66,408495
Iowa,all deaths,55-64 years,3682,415696
Iowa,all deaths,65-74 years,5574,311447
Iowa,all deaths,75-84 years,7473,162833
Iowa,all deaths,85+ years,11162,78674
Iowa,all deaths,< 1 year,189,37540
Iowa,all deaths,All Ages,30867,3155070
Iowa,all deaths,Not Stated,Suppressed,Not Applicable
Iowa,all diseases,1-4 years,19,158096
Iowa,all diseases,15-24 years,67,436415
Iowa,all diseases,25-34 years,158,398150
Iowa,all diseases,35-44 years,383,385215
Iowa,all diseases,45-54 years,1126,362509
Iowa,all diseases,5-14 years,33,408495
Iowa,all diseases,55-64 years,3354,415696
Iowa,all diseases,65-74 years,5337,311447
Iowa,all diseases,75-84 years,7218,162833
Iowa,all diseases,85+ years,10817,78674
Iowa,all diseases,< 1 year,172,37540
Iowa,all diseases,Not Stated,Suppressed,Not Applicable
Kansas,Alzheimers Disease,1-4 years,Suppressed,150006
Kansas,Alzheimers Disease,15-24 years,Suppressed,412813
Kansas,Alzheimers Disease,25-34 years,Suppressed,382922
Kansas,Alzheimers Disease,35-44 years,Suppressed,361029
Kansas,Alzheimers Disease,45-54 years,Suppressed,327961
Kansas,Alzheimers Disease,5-14 years,Suppressed,396266
Kansas,Alzheimers Disease,55-64 years,Suppressed,371505
Kansas,Alzheimers Disease,65-74 years,Suppressed,272236
Kansas,Alzheimers Disease,75-84 years,Suppressed,137573
Kansas,Alzheimers Disease,85+ years,Suppressed,65678
Kansas,Alzheimers Disease,< 1 year,Suppressed,35325
Kansas,Alzheimers Disease,All Ages,Suppressed,2913314
Kansas,Alzheimers Disease,Not Stated,Suppressed,Not Applicable
Kansas,Cancer,1-4 years,Suppressed,150006
Kansas,Cancer,15-24 years,Suppressed,412813
Kansas,Cancer,25-34 years,Suppressed,382922
Kansas,Cancer,35-44 years,Suppressed,361029
Kansas,Cancer,45-54 years,Suppressed,327961
Kansas,Cancer,5-14 years,Suppressed,396266
Kansas,Cancer,55-64 years,Suppressed,371505
Kansas,Cancer,65-74 years,Suppressed,272236
Kansas,Cancer,75-84 years,Suppressed,137573
Kansas,Cancer,85+ years,Suppressed,65678
Kansas,Cancer,< 1 year,Suppressed,35325
Kansas,Cancer,All Ages,Suppressed,2913314
Kansas,Cancer,Not Stated,Suppressed,Not Applicable
Kansas,Car accidents,1-4 years,Suppressed,150006
Kansas,Car accidents,15-24 years,68,412813
Kansas,Car accidents,25-34 years,56,382922
Kansas,Car accidents,35-44 years,56,361029
Kansas,Car accidents,45-54 years,43,327961
Kansas,Car accidents,5-14 years,Suppressed,396266
Kansas,Car accidents,55-64 years,55,371505
Kansas,Car accidents,65-74 years,50,272236
Kansas,Car accidents,75-84 years,27,137573
Kansas,Car accidents,85+ years,15,65678
Kansas,Car accidents,< 1 year,Suppressed,35325
Kansas,Car accidents,All Ages,383,2913314
Kansas,Car accidents,Not Stated,Suppressed,Not Applicable
Kansas,Cerebrovascular Diseases,1-4 years,Suppressed,150006
Kansas,Cerebrovascular Diseases,15-24 years,Suppressed,412813
Kansas,Cerebrovascular Diseases,25-34 years,Suppressed,382922
Kansas,Cerebrovascular Diseases,35-44 years,Suppressed,361029
Kansas,Cerebrovascular Diseases,45-54 years,Suppressed,327961
Kansas,Cerebrovascular Diseases,5-14 years,Suppressed,396266
Kansas,Cerebrovascular Diseases,55-64 years,Suppressed,371505
Kansas,Cerebrovascular Diseases,65-74 years,Suppressed,272236
Kansas,Cerebrovascular Diseases,75-84 years,Suppressed,137573
Kansas,Cerebrovascular Diseases,85+ years,Suppressed,65678
Kansas,Cerebrovascular Diseases,< 1 year,Suppressed,35325
Kansas,Cerebrovascular Diseases,All Ages,Suppressed,2913314
Kansas,Cerebrovascular Diseases,Not Stated,Suppressed,Not Applicable
Kansas,Diabetes Disease,1-4 years,Suppressed,150006
Kansas,Diabetes Disease,15-24 years,Suppressed,412813
Kansas,Diabetes Disease,25-34 years,Suppressed,382922
Kansas,Diabetes Disease,35-44 years,Suppressed,361029
Kansas,Diabetes Disease,45-54 years,Suppressed,327961
Kansas,Diabetes Disease,5-14 years,Suppressed,396266
Kansas,Diabetes Disease,55-64 years,Suppressed,371505
Kansas,Diabetes Disease,65-74 years,Suppressed,272236
Kansas,Diabetes Disease,75-84 years,Suppressed,137573
Kansas,Diabetes Disease,85+ years,Suppressed,65678
Kansas,Diabetes Disease,< 1 year,Suppressed,35325
Kansas,Diabetes Disease,All Ages,Suppressed,2913314
Kansas,Diabetes Disease,Not Stated,Suppressed,Not Applicable
Kansas,Drowning Accidents,1-4 years,Suppressed,150006
Kansas,Drowning Accidents,15-24 years,Suppressed,412813
Kansas,Drowning Accidents,25-34 years,Suppressed,382922
Kansas,Drowning Accidents,35-44 years,Suppressed,361029
Kansas,Drowning Accidents,45-54 years,Suppressed,327961
Kansas,Drowning Accidents,5-14 years,Suppressed,396266
Kansas,Drowning Accidents,55-64 years,Suppressed,371505
Kansas,Drowning Accidents,65-74 years,Suppressed,272236
Kansas,Drowning Accidents,75-84 years,Suppressed,137573
Kansas,Drowning Accidents,85+ years,Suppressed,65678
Kansas,Drowning Accidents,< 1 year,Suppressed,35325
Kansas,Drowning Accidents,All Ages,28,2913314
Kansas,Drowning Accidents,Not Stated,Suppressed,Not Applicable
Kansas,Heart Diseases,1-4 years,Suppressed,150006
Kansas,Heart Diseases,15-24 years,Suppressed,412813
Kansas,Heart Diseases,25-34 years,Suppressed,382922
Kansas,Heart Diseases,35-44 years,Suppressed,361029
Kansas,Heart Diseases,45-54 years,Suppressed,327961
Kansas,Heart Diseases,5-14 years,Suppressed,396266
Kansas,Heart Diseases,55-64 years,Suppressed,371505
Kansas,Heart Diseases,65-74 years,Suppressed,272236
Kansas,Heart Diseases,75-84 years,Suppressed,137573
Kansas,Heart Diseases,85+ years,Suppressed,65678
Kansas,Heart Diseases,< 1 year,Suppressed,35325
Kansas,Heart Diseases,All Ages,Suppressed,2913314
Kansas,Heart Diseases,Not Stated,Suppressed,Not Applicable
Kansas,Homicides,1-4 years,Suppressed,150006
Kansas,Homicides,15-24 years,32,412813
Kansas,Homicides,25-34 years,37,382922
Kansas,Homicides,35-44 years,21,361029
Kansas,Homicides,45-54 years,14,327961
Kansas,Homicides,5-14 years,Suppressed,396266
Kansas,Homicides,55-64 years,13,371505
Kansas,Homicides,65-74 years,Suppressed,272236
Kansas,Homicides,75-84 years,Suppressed,137573
Kansas,Homicides,85+ years,Suppressed,65678
Kansas,Homicides,< 1 year,Suppressed,35325
Kansas,Homicides,All Ages,137,2913314
Kansas,Homicides,Not Stated,Suppressed,Not Applicable
Kansas,Influenza Pneumonia,1-4 years,Suppressed,150006
Kansas,Influenza Pneumonia,15-24 years,Suppressed,412813
Kansas,Influenza Pneumonia,25-34 years,Suppressed,382922
Kansas,Influenza Pneumonia,35-44 years,Suppressed,361029
Kansas,Influenza Pneumonia,45-54 years,Suppressed,327961
Kansas,Influenza Pneumonia,5-14 years,Suppressed,396266
Kansas,Influenza Pneumonia,55-64 years,Suppressed,371505
